       area  unit       scp station    lines  div        desc        i        o                  dt
3200388  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-28 23:00:00
3200389  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3390731  1725709 2017-12-29 00:00:00
3200390  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 00:00:00
3200391  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 01:00:00
3200392  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 02:00:00
3200393  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 03:00:00
3200394  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3390736  1725710 2017-12-29 04:00:00



         area  unit       scp       station lines  div        desc        i        o                  dt
3200395  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 05:00:00
3200396  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 06:00:00
3200397  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 07:00:00
3200398  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3390736  1725722 2017-12-29 08:00:00
